suite_id,suite,run_index,total_runs,method,seed,sparsity,cka_strength,cka_signal,global_config,config,log_dir,checkpoint_dir,plot_dir,command,status
cifar10_drift_all,cka_strength,31,155,cka_feddst,42,0.5,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.5 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,32,155,cka_feddst,42,0.7,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.7 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,33,155,cka_feddst,42,0.8,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.8 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,34,155,cka_feddst,42,0.9,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.9 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,35,155,cka_feddst,42,0.95,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.95 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_42 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,36,155,cka_feddst,7,0.5,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.5 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,37,155,cka_feddst,7,0.7,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.7 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,38,155,cka_feddst,7,0.8,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.8 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,39,155,cka_feddst,7,0.9,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.9 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
cifar10_drift_all,cka_strength,40,155,cka_feddst,7,0.95,0.2,drift,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7,results/plots/cka_strength_sweep/cifar10_drift_all,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 7 --sparsity 0.95 --cka-strength 0.2 --cka-signal drift --log-dir results/logs/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --checkpoint-dir results/checkpoints/cka_strength_sweep/cifar10_drift_all/strength_0p2/seed_7 --plot-dir results/plots/cka_strength_sweep/cifar10_drift_all,passed
