suite_id,suite,run_index,total_runs,method,seed,sparsity,cka_strength,global_config,config,log_dir,checkpoint_dir,plot_dir,command,status
cifar10,multiseed,1,80,fedavg,42,,,configs/global_cifar10.yaml,configs/fedavg_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/fedavg_mnist.yaml --seed 42 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,2,80,sparse_fedavg,42,0.5,,configs/global_cifar10.yaml,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,3,80,feddst,42,0.5,,configs/global_cifar10.yaml,configs/feddst_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,4,80,cka_feddst,42,0.5,,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.5 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,5,80,sparse_fedavg,42,0.7,,configs/global_cifar10.yaml,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,6,80,feddst,42,0.7,,configs/global_cifar10.yaml,configs/feddst_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,7,80,cka_feddst,42,0.7,,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.7 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,8,80,sparse_fedavg,42,0.8,,configs/global_cifar10.yaml,configs/sparse_fedavg_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/sparse_fedavg_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,9,80,feddst,42,0.8,,configs/global_cifar10.yaml,configs/feddst_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/feddst_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
cifar10,multiseed,10,80,cka_feddst,42,0.8,,configs/global_cifar10.yaml,configs/cka_feddst_mnist.yaml,results/logs/multiseed/cifar10/seed_42,results/checkpoints/multiseed/cifar10/seed_42,results/plots/multiseed/cifar10,/mnt/aiongpfs/users/dsen/micromamba/envs/cka-cifar/bin/python -m src.train --global-config configs/global_cifar10.yaml --config configs/cka_feddst_mnist.yaml --seed 42 --sparsity 0.8 --log-dir results/logs/multiseed/cifar10/seed_42 --checkpoint-dir results/checkpoints/multiseed/cifar10/seed_42 --plot-dir results/plots/multiseed/cifar10,passed
